prioridad_rank,filas_afectadas_total,filas_vegetativa,filas_pesos,modulo_raw,turno_raw,valvula_raw,cama_raw,modulo_normalizado,id_geografia_base,id_cama,estados_detectados,detalle_resolucion,archivos_fuente,fecha_ultima_aparicion
1,202,149,53,11,05,19,1,11,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
2,138,80,58,12,17,59,0,12,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
3,82,41,41,14,07,25,1,14,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
4,69,49,20,10,20,58,0,10,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
5,67,49,18,10,20,59,0,10,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
6,62,33,29,12,16,56,54,12,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
7,59,34,25,12,18,61,0,12,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
8,59,31,28,12,09,31,0,12,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
9,58,31,27,12,16,54,46,12,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
10,57,32,25,12,10,35,45,12,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
11,56,49,7,10,20,60,0,10,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
12,56,34,22,11,14,51,7,11,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
13,56,31,25,12,15,50,46,12,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
14,54,33,21,05,03,7,1,05,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
15,53,30,23,09,10,27,0,09,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
16,53,29,24,09,03,7,0,09,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
17,53,29,24,09,11,30,0,09,,,PENDIENTE_GEOGRAFIA_BASE_NO_EXISTE,La geografia base no existe en Silver.Dim_Geografia_Base.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
